X,Y,Name (ชื่อ),Description (คำอธิบาย),Problem (ปัญหา),Project (โครงการ),Solution (การแก้ไข),Type of Problem (ประเภทปัญหา),District (เขต),Status (สถานะดำเนินการ),ข้อมูลจาก,mapbox icon
100.494287,13.747722,1.ถนน สนามไชย จากซอยเศรษฐการ ถึงถนนท้ายวัง,,,,,,พระนคร,อยู่ระหว่างสำรวจออกแบบ,สนน.,ocp_rain.svg
100.494037,13.75489,2. ถนนรอบสนามหลวง,,,,,,พระนคร,อยู่ระหว่างสำรวจออกแบบ,สนน.,ocp_rain.svg
100.505597,13.779584,3. ถนนราชวิถี บริเวณหน้าราชภัฏสวนดุสิตและเชิงสะพานกรุงธน (จุดเสี่ยง),,,"1. งานก่อสร้างรางระบายน้ำ ค.ส.ล. ถนนราชวิถี ช่วงจากแยกการเรือนถึงเชิงสะพานกรุงธน (2ฝั่ง) และปรับปรุงบ่อสูบน้ำบริเวณศาลเจ้าแม่ทับทิม ตอนแม่น้ำเจ้าพระยา
2. งานก่อสร้างระบบระบายน้ำถนนราชวิถีและถนนขาวและประบปรุงบ่อสูบน้ำสังคโลก ตอนลงแม่น้ำเจ้าพระยา",,,ดุสิต,เสร็จทันน้ำฝนนี้,สนน.,ocp_rain.svg
100.517458,13.725593,4. ถนนสุรวงศ์ (บริเวณใต้ทางด่วน),,,,,,บางรัก,อยู่ระหว่างสำรวจออกแบบ,สนน.,ocp_rain.svg
100.596085,13.87626,5. ถนนแจ้งวัฒนะ บริเวณหน้ามหาวิทยาลัยราชภัฎพระนคร,,,1.งานก่อสร้างบ่อพักสำหรับสูบน้ำ ถนนแจ้งวัฒนะ บริเวณหน้ามหาวิทยาลัยราชภัฎพระนครทั้งสองฝั่ง ตอนลงคลองบางเขน,,,บางเขน,เสร็จไม่ทันน้ำฝนนี้,สนน.,ocp_rain.svg
100.596619,13.876357,6. วงเวียนบางเขน,,,1.งานก่อสร้างแก้มลิงวงเวียนบางเขน ,,,บางเขน,เสร็จทันน้ำฝนนี้,สนน.,ocp_rain.svg
100.60422,13.870214,7. ถนนรามอินทรา ช่วงหน้าปากซอยรามอินทรา 5,,,"1.ก่อสร้างเขื่อน ค.ส.ล. คลองรางอ้อ-รางแก้ว (งบประมาณ ปี 67)
2.โครงการก่อสร้างสถานีสูบน้ำลและประตูระบายน้ำคลองหลุมไผ่ ตอนคลองลาดพร้าว
3.งานก่อสร้างทำนบกั้นน้ำแนวคลองลาดพร้าว (งบประมาณ ปี 66 เพิ่มเติม)",,,บางเขน,เสร็จทันน้ำฝนนี้,สนน.,ocp_rain.svg
100.5915,13.866659,8. ถนนพหลโยธินหน้ากรมทหารราบที่ 11,,,1.งานก่อสร้างบ่อสูบน้ำ บริเวณถนนพหลโยธินหน้ากรมทหารราบที่ 11,,,บางเขน,เสร็จทันน้ำฝนนี้,สนน.,ocp_rain.svg
100.589271,13.862841,9. ถนนพหลโยธิน ช่วงหน้าราบ 11 ประตู 2,,,1.งานก่อสร้างบ่อสูบน้ำ บริเวณถนนพหลโยธินหน้ากรมทหารราบที่ 11,,,บางเขน,เสร็จทันน้ำฝนนี้,สนน.,ocp_rain.svg
100.6072421,13.8899452,10. ถนนเทพรักษ์ จากหน้าบิ๊กซี (สาขาดอนเมือง) ถึงหน้าคอนโด Episode,,,1งานก่อสร้างทำนบกั้นน้ำแนวคลองลาดพร้าว,,,บางเขน,เสร็จไม่ทันน้ำฝนนี้,สนน.,ocp_rain.svg
100.642205,13.890195,11. ถนนวัชรพล จากถนนเพิ่มสิน ถึงถนนเทพรักษ์,,,"1.งานก่อสร้างทำนบกั้นน้ำแนวคลองลาดพร้าว
2.ก่อสร้างเขื่อ ค.ส.ล. คลองรางอ้อ-รางแก้ว
3.โครงการก่อสร้างสถานีสูบน้ำลและประตูระบายน้ำคลองหลุมไผ่ ตอนคลองลาดพร้าว",,,บางเขน,เสร็จไม่ทันน้ำฝนนี้,สนน.,ocp_rain.svg
